epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3881.02,0.71125,0.74264,0.35029,0.80418,0.84068,0.64006,0.69269,0.54582,0.84016,0.63953,0.69229,0.49562,0.6518,0.69517,0.32998,0.80166,0.000198071,0.000198071,0.000198071
81,3929.86,0.70923,0.74029,0.35112,0.80377,0.87919,0.615,0.6892,0.5453,0.8787,0.6145,0.6888,0.49083,0.65155,0.6923,0.32996,0.80162,0.000189072,0.000189072,0.000189072
82,3976.92,0.70117,0.73229,0.35,0.80306,0.89774,0.63965,0.70756,0.55937,0.89718,0.63908,0.70706,0.5046,0.65333,0.6919,0.33002,0.80164,0.000180073,0.000180073,0.000180073
83,4023.72,0.7031,0.73394,0.34756,0.80354,0.87447,0.61793,0.70269,0.55542,0.87451,0.61732,0.70242,0.5013,0.65339,0.69247,0.33027,0.80173,0.000171074,0.000171074,0.000171074
84,4070.78,0.70078,0.72823,0.34638,0.80432,0.79467,0.63693,0.69339,0.54746,0.79417,0.63642,0.69302,0.49592,0.65517,0.69467,0.32727,0.80246,0.000162075,0.000162075,0.000162075
85,4117.55,0.69972,0.72529,0.34684,0.80419,0.88642,0.64795,0.71808,0.56615,0.88767,0.6495,0.71854,0.51573,0.65246,0.69288,0.32679,0.80158,0.000153076,0.000153076,0.000153076
86,4164.53,0.70182,0.73613,0.34583,0.80338,0.87718,0.63604,0.70919,0.56203,0.87666,0.63551,0.7089,0.5055,0.65203,0.69213,0.32648,0.8016,0.000144077,0.000144077,0.000144077
87,4211.47,0.70257,0.72955,0.34533,0.80403,0.80067,0.64756,0.69957,0.55503,0.80018,0.64706,0.69917,0.49552,0.6537,0.693,0.32835,0.80192,0.000135077,0.000135077,0.000135077
88,4277.79,0.7056,0.73692,0.34585,0.80435,0.81266,0.65352,0.71011,0.55999,0.81225,0.65311,0.70981,0.50351,0.65556,0.69577,0.32792,0.80181,0.000126078,0.000126078,0.000126078
89,4324.32,0.70141,0.73143,0.34459,0.80365,0.83699,0.63518,0.69284,0.55023,0.83644,0.63462,0.69221,0.49164,0.65055,0.69374,0.32565,0.8015,0.000117079,0.000117079,0.000117079
90,4371.15,0.6964,0.72422,0.3429,0.80267,0.78301,0.67982,0.70562,0.5588,0.78412,0.68128,0.70616,0.50106,0.65208,0.69244,0.32761,0.80152,0.00010808,0.00010808,0.00010808
91,4442.16,0.69527,0.736,0.34961,0.80547,0.89736,0.59477,0.68516,0.53666,0.89695,0.59437,0.68464,0.48203,0.6585,0.70308,0.33958,0.80173,9.9081e-05,9.9081e-05,9.9081e-05
92,4475.74,0.68936,0.73037,0.34058,0.80423,0.83145,0.65314,0.7082,0.55768,0.83097,0.65265,0.70802,0.50065,0.65847,0.69667,0.33428,0.80111,9.00819e-05,9.00819e-05,9.00819e-05
93,4509.16,0.6919,0.73561,0.33991,0.805,0.78044,0.68547,0.70741,0.55461,0.77988,0.6849,0.70688,0.50279,0.65806,0.69426,0.33431,0.80156,8.10828e-05,8.10828e-05,8.10828e-05
94,4542.58,0.68559,0.72536,0.33502,0.8041,0.59222,0.70756,0.70138,0.54954,0.59161,0.70694,0.70094,0.49884,0.65453,0.69058,0.33034,0.80094,7.20837e-05,7.20837e-05,7.20837e-05
95,4575.83,0.68366,0.72048,0.33349,0.80406,0.73508,0.67589,0.68966,0.54182,0.73589,0.67598,0.69018,0.48808,0.65422,0.69171,0.3303,0.80131,6.30846e-05,6.30846e-05,6.30846e-05
96,4609.3,0.68116,0.72096,0.33161,0.80444,0.80468,0.64335,0.6912,0.54213,0.80566,0.64486,0.6919,0.4896,0.65341,0.69151,0.32885,0.80127,5.40855e-05,5.40855e-05,5.40855e-05
97,4642.47,0.6828,0.72052,0.3309,0.80435,0.59057,0.69598,0.68844,0.53788,0.59139,0.69738,0.68915,0.48887,0.65225,0.68954,0.32713,0.80118,4.50864e-05,4.50864e-05,4.50864e-05
98,4675.68,0.68134,0.71777,0.32934,0.80361,0.59594,0.69254,0.69515,0.54394,0.59527,0.69186,0.69469,0.48936,0.65308,0.68971,0.32713,0.80138,3.60873e-05,3.60873e-05,3.60873e-05
99,4708.8,0.67611,0.71369,0.32698,0.80416,0.60329,0.6943,0.69291,0.54104,0.60268,0.69369,0.69248,0.49243,0.65069,0.6904,0.3254,0.80104,2.70882e-05,2.70882e-05,2.70882e-05
100,4742.07,0.67645,0.71472,0.32663,0.80392,0.81503,0.6619,0.70022,0.54864,0.81445,0.66132,0.69979,0.49369,0.65148,0.68982,0.32535,0.80124,1.80891e-05,1.80891e-05,1.80891e-05
