epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6682.85,0.72337,0.94206,0.37944,0.81278,0.84604,0.6278,0.68415,0.52977,0.84562,0.62737,0.684,0.489,0.68557,0.71999,0.33966,0.80345,0.000153076,0.000153076,0.000153076
86,6771.89,0.72301,0.9415,0.37792,0.81371,0.77872,0.63236,0.67579,0.52095,0.77834,0.63197,0.67566,0.48387,0.69472,0.72845,0.34186,0.80467,0.000144077,0.000144077,0.000144077
87,6836.86,0.71668,0.9276,0.37434,0.81156,0.72066,0.67987,0.68425,0.52655,0.71966,0.68017,0.68499,0.48729,0.6812,0.72482,0.33816,0.80339,0.000135077,0.000135077,0.000135077
88,6907.1,0.72022,0.93754,0.37681,0.81255,0.87822,0.62726,0.69709,0.54106,0.87788,0.62692,0.69699,0.49895,0.67883,0.71893,0.33698,0.80298,0.000126078,0.000126078,0.000126078
89,6978.14,0.71189,0.91587,0.37099,0.81061,0.87547,0.61851,0.69128,0.53819,0.87514,0.61818,0.69116,0.49594,0.67871,0.71894,0.33664,0.80315,0.000117079,0.000117079,0.000117079
90,7055.38,0.71544,0.93479,0.37324,0.81186,0.76748,0.64154,0.68452,0.53028,0.76876,0.64396,0.68579,0.49177,0.69797,0.72489,0.34101,0.80428,0.00010808,0.00010808,0.00010808
91,7128.63,0.65455,0.78895,0.35602,0.80446,0.82295,0.62592,0.6692,0.50751,0.82277,0.62574,0.66977,0.4734,0.7029,0.72807,0.35571,0.80429,9.9081e-05,9.9081e-05,9.9081e-05
92,7162.21,0.64523,0.78096,0.34045,0.80286,0.78621,0.65977,0.69406,0.53059,0.78597,0.65952,0.69412,0.49262,0.70007,0.72861,0.35,0.80345,9.00819e-05,9.00819e-05,9.00819e-05
93,7194.96,0.64135,0.78191,0.33854,0.80296,0.79492,0.67923,0.69529,0.5357,0.79453,0.67884,0.6952,0.49819,0.69275,0.72647,0.34609,0.80339,8.10828e-05,8.10828e-05,8.10828e-05
94,7227.86,0.63886,0.77082,0.334,0.80271,0.82443,0.61628,0.6943,0.53356,0.82417,0.61601,0.69424,0.49694,0.69058,0.7166,0.34345,0.8026,7.20837e-05,7.20837e-05,7.20837e-05
95,7260.73,0.63298,0.76935,0.33153,0.80253,0.8179,0.64952,0.69643,0.53503,0.81761,0.64922,0.69683,0.49879,0.69009,0.71708,0.34212,0.80292,6.30846e-05,6.30846e-05,6.30846e-05
96,7293.64,0.6339,0.76613,0.33043,0.80279,0.78154,0.65931,0.69075,0.53035,0.78121,0.65832,0.6907,0.49598,0.68742,0.71747,0.34049,0.80264,5.40855e-05,5.40855e-05,5.40855e-05
97,7326.72,0.63434,0.76665,0.3295,0.80241,0.80097,0.67015,0.69666,0.53401,0.80058,0.66976,0.69659,0.49779,0.67851,0.71812,0.33658,0.80222,4.50864e-05,4.50864e-05,4.50864e-05
98,7359.38,0.63067,0.76126,0.32726,0.80123,0.77674,0.67152,0.69222,0.53185,0.77643,0.67121,0.69217,0.49475,0.68435,0.71511,0.33717,0.8027,3.60873e-05,3.60873e-05,3.60873e-05
99,7392.15,0.62148,0.75834,0.32323,0.80189,0.80522,0.66727,0.69869,0.53618,0.80487,0.66692,0.69902,0.49734,0.6804,0.71728,0.33688,0.80243,2.70882e-05,2.70882e-05,2.70882e-05
100,7424.9,0.62387,0.76002,0.32365,0.80171,0.79341,0.66954,0.70019,0.53831,0.79309,0.66922,0.70014,0.50012,0.68215,0.71665,0.33573,0.80238,1.80891e-05,1.80891e-05,1.80891e-05
